,Longitude,Latitude,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,presence
35,-121.735700088,37.2142587799,141.0,97,47,3598.0,254.0,46.0,207.0,89.0,185.0,188.0,89.0,562.0,112.0,1.0,86.0,316.0,5.0,6.0,316.0,1
36,-120.761433365,37.4213837265,177.0,125,43,5504.0,341.0,50.0,291.0,106.0,254.0,254.0,102.0,318.0,62.0,1.0,84.0,173.0,3.0,3.0,173.0,1
37,-120.890557427,37.3888322288,175.0,124,43,5306.0,334.0,49.0,285.0,114.0,247.0,248.0,102.0,305.0,59.0,1.0,83.0,165.0,3.0,3.0,162.0,1
38,-121.105039116,37.3206006129,167.0,122,44,4925.0,318.0,46.0,271.0,98.0,230.0,234.0,98.0,297.0,61.0,1.0,88.0,171.0,3.0,3.0,171.0,1
39,-120.594980642,37.4202462107,180.0,126,42,5717.0,348.0,51.0,297.0,104.0,259.0,261.0,103.0,344.0,66.0,0.0,85.0,188.0,2.0,2.0,188.0,1
40,-120.739575459,37.3311942874,178.0,126,43,5507.0,342.0,50.0,292.0,115.0,255.0,255.0,103.0,294.0,57.0,1.0,84.0,162.0,3.0,3.0,160.0,1
41,-121.600761266,37.1296889712,145.0,103,47,3796.0,265.0,46.0,219.0,98.0,191.0,195.0,91.0,503.0,97.0,1.0,87.0,280.0,4.0,5.0,276.0,1
42,-121.036478472,37.2397225528,170.0,123,44,5031.0,324.0,48.0,276.0,112.0,234.0,239.0,100.0,287.0,58.0,0.0,87.0,163.0,2.0,2.0,160.0,1
43,-120.532171794,37.3379905308,182.0,126,42,5784.0,351.0,51.0,299.0,104.0,257.0,264.0,104.0,338.0,65.0,0.0,87.0,188.0,2.0,2.0,188.0,1
44,-120.37479927,37.3377578358,184.0,126,41,5972.0,355.0,51.0,304.0,105.0,269.0,269.0,105.0,395.0,76.0,1.0,86.0,220.0,3.0,3.0,220.0,1
45,-121.943960446,37.0016000522,139.0,78,47,2835.0,227.0,63.0,164.0,98.0,176.0,176.0,98.0,691.0,144.0,2.0,91.0,408.0,7.0,7.0,408.0,1
46,-122.08321698,36.9521934062,144.0,67,47,2427.0,219.0,78.0,140.0,109.0,176.0,176.0,109.0,660.0,137.0,2.0,90.0,391.0,8.0,8.0,391.0,1
47,-120.664142434,37.2516222693,180.0,127,42,5603.0,346.0,50.0,295.0,116.0,252.0,258.0,104.0,290.0,55.0,0.0,85.0,159.0,2.0,2.0,157.0,1
48,-120.848230792,37.2111974606,175.0,126,43,5299.0,335.0,49.0,286.0,115.0,246.0,248.0,102.0,276.0,54.0,1.0,84.0,153.0,3.0,3.0,149.0,1
49,-121.570789475,37.0423137123,153.0,104,47,3830.0,273.0,52.0,221.0,100.0,199.0,203.0,98.0,436.0,89.0,1.0,90.0,254.0,4.0,4.0,253.0,1
50,-120.983479997,37.1563794643,171.0,124,44,5071.0,326.0,48.0,278.0,113.0,236.0,241.0,101.0,268.0,54.0,0.0,87.0,152.0,1.0,2.0,149.0,1
51,-121.807853292,36.9784108449,145.0,86,47,3112.0,242.0,61.0,181.0,100.0,182.0,186.0,100.0,552.0,121.0,1.0,94.0,344.0,5.0,5.0,344.0,1
52,-120.529109978,37.2345163789,182.0,127,42,5742.0,351.0,51.0,299.0,117.0,257.0,263.0,105.0,298.0,56.0,0.0,85.0,163.0,2.0,2.0,161.0,1
53,-120.261421742,37.2530812044,185.0,126,41,6032.0,358.0,52.0,306.0,106.0,272.0,272.0,106.0,377.0,69.0,1.0,84.0,203.0,3.0,3.0,203.0,1
54,-120.382953747,37.2165180762,184.0,127,41,5883.0,355.0,52.0,303.0,113.0,261.0,268.0,106.0,326.0,60.0,0.0,84.0,175.0,2.0,2.0,175.0,1
55,-120.711792468,37.1452843731,178.0,127,43,5454.0,341.0,49.0,292.0,116.0,248.0,253.0,103.0,258.0,50.0,0.0,84.0,143.0,1.0,2.0,139.0,1
56,-120.843669115,37.1159882831,174.0,126,44,5258.0,334.0,48.0,286.0,114.0,242.0,247.0,102.0,257.0,50.0,1.0,84.0,143.0,3.0,3.0,138.0,1
57,-121.551051514,36.9527233302,151.0,102,47,3738.0,269.0,52.0,217.0,97.0,200.0,200.0,97.0,385.0,86.0,1.0,95.0,245.0,3.0,3.0,245.0,1
58,-121.381250091,36.9816490039,152.0,111,46,4165.0,283.0,44.0,239.0,100.0,204.0,208.0,92.0,404.0,84.0,1.0,92.0,239.0,3.0,4.0,237.0,1
59,-121.787848609,36.8888568458,151.0,87,47,3146.0,250.0,67.0,183.0,106.0,188.0,193.0,106.0,471.0,97.0,1.0,89.0,276.0,5.0,5.0,276.0,1
60,-120.969819682,37.0608438199,169.0,124,44,5037.0,323.0,45.0,278.0,107.0,233.0,238.0,99.0,257.0,51.0,1.0,85.0,142.0,3.0,3.0,142.0,1
61,-121.664304696,36.8975332441,150.0,96,47,3490.0,261.0,57.0,203.0,100.0,192.0,197.0,100.0,448.0,88.0,1.0,87.0,249.0,5.0,5.0,249.0,1
62,-120.550622892,37.102404483,181.0,128,42,5658.0,349.0,50.0,298.0,117.0,255.0,261.0,105.0,259.0,48.0,0.0,85.0,141.0,1.0,2.0,139.0,1
63,-120.408844514,37.1167971143,183.0,128,42,5848.0,354.0,51.0,303.0,117.0,260.0,267.0,106.0,288.0,52.0,0.0,83.0,153.0,2.0,2.0,152.0,1
64,-120.713090379,37.0491561511,177.0,128,43,5431.0,341.0,49.0,292.0,115.0,247.0,253.0,103.0,245.0,47.0,0.0,84.0,136.0,1.0,2.0,132.0,1
65,-120.280581267,37.1379252424,185.0,127,41,5990.0,358.0,52.0,306.0,110.0,265.0,271.0,106.0,327.0,59.0,0.0,84.0,175.0,2.0,2.0,175.0,1
66,-120.077637039,37.1741062342,186.0,126,40,6219.0,361.0,50.0,310.0,115.0,276.0,276.0,105.0,405.0,73.0,1.0,82.0,214.0,3.0,3.0,211.0,1
67,-121.52070077,36.8648835781,155.0,104,47,3800.0,276.0,55.0,220.0,101.0,205.0,206.0,101.0,337.0,70.0,1.0,89.0,198.0,3.0,3.0,198.0,1
68,-121.389613055,36.8860202142,158.0,111,46,4133.0,289.0,51.0,238.0,101.0,210.0,213.0,99.0,359.0,72.0,1.0,87.0,202.0,3.0,4.0,202.0,1
69,-121.790920836,36.7886832998,151.0,85,47,3051.0,247.0,69.0,178.0,108.0,187.0,192.0,108.0,435.0,91.0,1.0,89.0,256.0,5.0,5.0,256.0,1
70,-120.874092229,36.9610234989,172.0,127,44,5220.0,332.0,46.0,285.0,109.0,239.0,244.0,100.0,226.0,46.0,0.0,86.0,129.0,1.0,2.0,128.0,1
71,-120.568615667,37.0050626696,181.0,129,43,5637.0,348.0,49.0,298.0,117.0,254.0,260.0,105.0,246.0,46.0,0.0,84.0,133.0,1.0,2.0,132.0,1
72,-121.616759924,36.7609403554,150.0,98,47,3528.0,262.0,55.0,206.0,107.0,192.0,197.0,99.0,401.0,82.0,1.0,90.0,231.0,4.0,5.0,229.0,1
73,-120.728780427,36.9466822877,176.0,128,43,5398.0,340.0,47.0,292.0,115.0,246.0,251.0,102.0,225.0,44.0,0.0,84.0,125.0,1.0,2.0,123.0,1
74,-120.121712707,37.0697164132,187.0,127,41,6140.0,362.0,52.0,310.0,110.0,275.0,276.0,107.0,332.0,61.0,0.0,83.0,178.0,2.0,2.0,178.0,1
75,-120.249273652,37.0383710351,186.0,128,41,6002.0,359.0,51.0,307.0,107.0,265.0,272.0,107.0,291.0,53.0,0.0,84.0,156.0,2.0,2.0,156.0,1
76,-120.397950349,37.0019556458,183.0,129,42,5826.0,354.0,51.0,304.0,116.0,260.0,266.0,106.0,265.0,48.0,0.0,84.0,141.0,1.0,2.0,141.0,1
77,-121.724612111,36.7092947144,152.0,88,47,3149.0,252.0,67.0,184.0,107.0,189.0,194.0,107.0,394.0,83.0,1.0,89.0,232.0,5.0,5.0,232.0,1
78,-119.92976945,37.0464825572,188.0,127,40,6310.0,365.0,51.0,313.0,116.0,280.0,280.0,106.0,382.0,71.0,1.0,84.0,207.0,3.0,3.0,205.0,1
79,-121.941239764,36.6165301065,142.0,69,48,2480.0,220.0,75.0,145.0,107.0,175.0,175.0,107.0,629.0,127.0,2.0,87.0,359.0,7.0,7.0,359.0,1
80,-120.548754844,36.9144818041,179.0,130,43,5606.0,347.0,48.0,299.0,105.0,252.0,258.0,104.0,230.0,43.0,0.0,83.0,124.0,1.0,2.0,124.0,1
81,-121.559682984,36.6781008894,153.0,100,47,3612.0,267.0,56.0,211.0,108.0,196.0,201.0,101.0,399.0,82.0,1.0,89.0,230.0,4.0,5.0,228.0,1
82,-120.722219182,36.8544062712,174.0,129,44,5372.0,337.0,44.0,292.0,105.0,243.0,248.0,100.0,215.0,43.0,0.0,86.0,123.0,1.0,2.0,123.0,1
83,-120.189344121,36.9518821994,186.0,129,41,6023.0,360.0,51.0,309.0,107.0,272.0,272.0,107.0,272.0,49.0,0.0,84.0,146.0,0.0,0.0,146.0,1
84,-120.335615934,36.9129613026,184.0,130,42,5844.0,355.0,50.0,305.0,106.0,267.0,267.0,106.0,242.0,44.0,0.0,84.0,130.0,0.0,0.0,130.0,1
85,-121.664789616,36.6279214337,154.0,93,47,3357.0,261.0,64.0,196.0,106.0,194.0,199.0,106.0,354.0,75.0,1.0,89.0,207.0,4.0,5.0,207.0,1
86,-120.042334309,36.9492622279,187.0,129,41,6147.0,363.0,52.0,311.0,111.0,276.0,276.0,107.0,294.0,54.0,0.0,84.0,159.0,0.0,0.0,158.0,1
87,-119.907132975,36.9567928834,189.0,128,40,6311.0,366.0,52.0,315.0,117.0,281.0,281.0,107.0,337.0,63.0,0.0,83.0,181.0,1.0,1.0,180.0,1
88,-120.434400263,36.8446444884,182.0,130,42,5745.0,352.0,49.0,303.0,105.0,260.0,263.0,105.0,229.0,43.0,0.0,84.0,124.0,0.0,1.0,124.0,1
89,-121.52337998,36.5910138065,156.0,102,47,3701.0,273.0,57.0,216.0,103.0,200.0,205.0,103.0,390.0,82.0,1.0,89.0,225.0,4.0,5.0,225.0,1
90,-120.656176255,36.7615860046,175.0,130,43,5465.0,340.0,44.0,295.0,100.0,245.0,251.0,100.0,215.0,43.0,0.0,85.0,122.0,1.0,2.0,122.0,1
91,-119.736220472,36.9428821151,191.0,127,39,6487.0,370.0,52.0,318.0,116.0,286.0,286.0,108.0,364.0,67.0,0.0,83.0,194.0,1.0,1.0,192.0,1
92,-120.532497782,36.7705342972,178.0,131,43,5626.0,347.0,46.0,300.0,102.0,251.0,258.0,102.0,221.0,43.0,0.0,84.0,123.0,1.0,2.0,123.0,1
93,-120.133856392,36.8091532399,186.0,130,41,6035.0,361.0,50.0,310.0,107.0,273.0,273.0,107.0,243.0,45.0,0.0,84.0,131.0,0.0,0.0,131.0,1
94,-120.253875281,36.7828498651,185.0,131,42,5904.0,357.0,49.0,308.0,106.0,269.0,269.0,106.0,225.0,42.0,0.0,84.0,122.0,0.0,0.0,122.0,1
95,-120.003052319,36.8272832552,188.0,130,41,6155.0,364.0,51.0,313.0,113.0,277.0,277.0,107.0,260.0,48.0,0.0,84.0,139.0,0.0,0.0,139.0,1
96,-121.457201869,36.5115405397,158.0,107,47,3900.0,282.0,55.0,227.0,105.0,207.0,210.0,103.0,394.0,82.0,1.0,89.0,226.0,3.0,4.0,226.0,1
97,-120.36636087,36.7192132791,183.0,131,42,5809.0,354.0,48.0,306.0,105.0,265.0,265.0,105.0,213.0,41.0,0.0,85.0,119.0,0.0,0.0,119.0,1
98,-120.525087246,36.6759777686,177.0,131,43,5602.0,345.0,44.0,300.0,101.0,250.0,255.0,101.0,219.0,44.0,0.0,85.0,126.0,1.0,2.0,126.0,1
99,-119.628202891,36.8222570274,191.0,128,40,6521.0,371.0,52.0,319.0,117.0,287.0,287.0,108.0,360.0,68.0,0.0,84.0,195.0,1.0,1.0,193.0,1
100,-119.91152992,36.7444080422,189.0,130,41,6253.0,367.0,51.0,315.0,119.0,280.0,280.0,108.0,256.0,48.0,0.0,84.0,139.0,0.0,0.0,137.0,1
101,-121.405789945,36.4277403724,159.0,109,47,3977.0,285.0,54.0,231.0,103.0,213.0,213.0,103.0,380.0,80.0,1.0,89.0,224.0,3.0,3.0,224.0,1
102,-120.178999408,36.6397003006,186.0,132,42,5960.0,359.0,49.0,310.0,107.0,271.0,271.0,107.0,209.0,40.0,0.0,84.0,114.0,0.0,0.0,114.0,1
103,-120.464645072,36.5744806691,175.0,132,43,5614.0,344.0,42.0,301.0,99.0,248.0,254.0,99.0,210.0,43.0,0.0,86.0,125.0,1.0,2.0,125.0,1
104,-121.253838774,36.3940199244,161.0,115,46,4256.0,296.0,50.0,245.0,107.0,218.0,219.0,101.0,376.0,76.0,1.0,89.0,214.0,3.0,3.0,212.0,1
105,-119.721502033,36.7120660981,191.0,129,40,6412.0,370.0,52.0,318.0,119.0,285.0,285.0,109.0,294.0,55.0,0.0,84.0,160.0,0.0,0.0,157.0,1
106,-120.335686692,36.5843864447,182.0,132,43,5779.0,353.0,47.0,306.0,104.0,264.0,264.0,104.0,202.0,40.0,0.0,85.0,114.0,0.0,0.0,114.0,1
107,-120.005035988,36.6404843963,188.0,131,41,6119.0,364.0,50.0,313.0,119.0,276.0,276.0,108.0,219.0,41.0,0.0,84.0,118.0,0.0,0.0,117.0,1
