,Longitude,Latitude,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,presence
147,-119.660373194,36.1014761403,193.0,132,41,6336.0,372.0,52.0,319.0,122.0,286.0,286.0,111.0,190.0,37.0,0.0,84.0,107.0,0.0,0.0,100.0,1
148,-119.233324457,36.1650241039,199.0,128,39,6761.0,381.0,56.0,324.0,123.0,297.0,298.0,113.0,283.0,55.0,0.0,83.0,153.0,2.0,2.0,152.0,1
149,-119.819398919,36.0207527937,190.0,133,42,6149.0,366.0,50.0,316.0,121.0,271.0,279.0,110.0,179.0,35.0,0.0,83.0,102.0,1.0,2.0,93.0,1
150,-119.410341611,36.0587382736,198.0,130,40,6567.0,378.0,56.0,322.0,123.0,293.0,293.0,114.0,216.0,42.0,0.0,84.0,120.0,0.0,0.0,114.0,1
151,-119.222624008,36.0699691226,199.0,128,39,6737.0,381.0,56.0,324.0,123.0,291.0,298.0,113.0,265.0,51.0,0.0,83.0,143.0,2.0,2.0,140.0,1
152,-119.091561017,36.0951065616,200.0,127,39,6889.0,382.0,56.0,326.0,114.0,301.0,301.0,112.0,332.0,65.0,0.0,84.0,180.0,2.0,2.0,180.0,1
153,-119.775923054,35.9251001784,191.0,133,42,6158.0,366.0,50.0,316.0,121.0,272.0,280.0,111.0,173.0,33.0,0.0,83.0,99.0,1.0,2.0,90.0,1
154,-119.655945537,35.9484109777,193.0,132,41,6283.0,370.0,52.0,318.0,123.0,276.0,285.0,112.0,172.0,33.0,0.0,82.0,98.0,2.0,2.0,89.0,1
155,-119.364671777,35.9609925649,198.0,130,40,6587.0,378.0,56.0,322.0,124.0,285.0,295.0,114.0,213.0,41.0,0.0,83.0,117.0,2.0,2.0,110.0,1
156,-119.877983507,35.8461341327,185.0,133,42,5977.0,358.0,46.0,311.0,117.0,263.0,271.0,107.0,172.0,36.0,0.0,89.0,105.0,1.0,2.0,99.0,1
157,-119.164792228,35.9867605905,200.0,128,39,6804.0,382.0,56.0,325.0,122.0,299.0,299.0,113.0,282.0,55.0,0.0,83.0,152.0,2.0,2.0,150.0,1
158,-119.279283717,35.8849969683,199.0,130,40,6648.0,380.0,56.0,323.0,124.0,287.0,296.0,114.0,222.0,42.0,0.0,82.0,120.0,2.0,2.0,113.0,1
159,-119.427209541,35.760853498,197.0,131,41,6432.0,375.0,55.0,320.0,125.0,282.0,291.0,115.0,174.0,32.0,0.0,83.0,97.0,2.0,2.0,87.0,1
160,-119.610851774,35.7225974069,194.0,132,41,6237.0,369.0,53.0,316.0,123.0,276.0,284.0,113.0,155.0,30.0,0.0,82.0,89.0,1.0,2.0,78.0,1
161,-119.178386586,35.809573092,199.0,129,39,6705.0,380.0,55.0,324.0,123.0,297.0,297.0,113.0,233.0,43.0,0.0,82.0,124.0,2.0,2.0,117.0,1
162,-119.769531501,35.6399007338,186.0,133,42,5987.0,358.0,47.0,310.0,118.0,264.0,272.0,108.0,155.0,31.0,0.0,86.0,93.0,1.0,2.0,85.0,1
163,-120.830184472,35.4016926674,160.0,99,46,3804.0,275.0,62.0,213.0,115.0,207.0,213.0,108.0,514.0,107.0,1.0,92.0,309.0,3.0,3.0,300.0,1
164,-119.331516175,35.6778768711,198.0,131,40,6527.0,377.0,56.0,321.0,124.0,284.0,293.0,115.0,185.0,34.0,0.0,82.0,101.0,2.0,2.0,91.0,1
165,-119.555546761,35.5978229739,194.0,132,41,6211.0,368.0,53.0,315.0,124.0,275.0,284.0,114.0,150.0,29.0,0.0,82.0,87.0,1.0,2.0,73.0,1
166,-120.742687699,35.3269986378,161.0,99,46,3831.0,277.0,63.0,214.0,110.0,214.0,215.0,109.0,528.0,109.0,1.0,90.0,307.0,3.0,3.0,307.0,1
167,-120.668452862,35.2491553743,163.0,97,46,3747.0,275.0,66.0,209.0,112.0,208.0,215.0,112.0,492.0,107.0,0.0,95.0,308.0,1.0,2.0,308.0,1
168,-119.596096657,35.4513424035,192.0,131,42,6042.0,363.0,53.0,309.0,124.0,271.0,280.0,114.0,136.0,28.0,0.0,84.0,81.0,1.0,2.0,69.0,1
169,-119.372809117,35.4872179285,197.0,131,41,6365.0,373.0,56.0,317.0,125.0,281.0,290.0,116.0,159.0,31.0,0.0,82.0,90.0,2.0,2.0,76.0,1
170,-119.220126921,35.4250945207,199.0,130,40,6477.0,376.0,57.0,319.0,126.0,284.0,294.0,117.0,163.0,31.0,0.0,81.0,91.0,2.0,2.0,79.0,1
171,-119.40040058,35.3874113975,196.0,130,41,6256.0,370.0,56.0,314.0,126.0,278.0,288.0,116.0,153.0,30.0,0.0,81.0,88.0,2.0,2.0,72.0,1
172,-120.5849014,35.1119940512,167.0,94,46,3665.0,277.0,74.0,203.0,125.0,212.0,219.0,118.0,436.0,87.0,0.0,90.0,257.0,2.0,2.0,246.0,1
173,-119.290596451,35.3081594396,198.0,130,41,6329.0,373.0,58.0,314.0,127.0,281.0,291.0,118.0,162.0,32.0,0.0,80.0,92.0,2.0,2.0,75.0,1
174,-120.466716761,35.0390434984,165.0,96,46,3777.0,278.0,69.0,208.0,121.0,211.0,219.0,115.0,377.0,78.0,0.0,92.0,232.0,1.0,2.0,212.0,1
175,-118.994433279,35.2782304779,203.0,129,40,6625.0,381.0,60.0,321.0,128.0,290.0,300.0,119.0,191.0,34.0,0.0,79.0,101.0,2.0,3.0,95.0,1
176,-120.637399814,34.8891006022,155.0,78,46,3052.0,247.0,77.0,169.0,119.0,193.0,198.0,115.0,425.0,85.0,0.0,90.0,253.0,2.0,2.0,228.0,1
177,-120.396587787,34.9286470191,167.0,96,46,3788.0,280.0,71.0,208.0,123.0,213.0,221.0,117.0,356.0,69.0,0.0,88.0,204.0,1.0,2.0,184.0,1
178,-118.84880421,35.1655004715,202.0,128,40,6618.0,380.0,60.0,319.0,146.0,289.0,299.0,118.0,234.0,39.0,1.0,75.0,114.0,4.0,6.0,109.0,1
179,-120.39572727,34.7527694438,159.0,85,46,3375.0,259.0,74.0,185.0,119.0,199.0,207.0,115.0,348.0,73.0,0.0,92.0,213.0,1.0,2.0,181.0,1
180,-120.600734979,34.6888989977,160.0,66,46,2637.0,238.0,93.0,144.0,129.0,189.0,197.0,126.0,359.0,74.0,0.0,90.0,216.0,1.0,2.0,183.0,1
181,-120.338407955,34.6047103143,157.0,76,45,3069.0,248.0,81.0,167.0,121.0,193.0,201.0,118.0,421.0,86.0,0.0,92.0,255.0,1.0,2.0,226.0,1
182,-120.187774408,34.6014873309,163.0,86,45,3495.0,266.0,77.0,189.0,122.0,205.0,213.0,118.0,414.0,88.0,0.0,94.0,257.0,1.0,2.0,237.0,1
183,-118.920864255,34.2814377167,182.0,100,43,4560.0,309.0,77.0,231.0,129.0,239.0,249.0,125.0,395.0,88.0,0.0,98.0,259.0,1.0,2.0,230.0,1
184,-119.57301183,34.0430649519,171.0,62,43,2888.0,251.0,105.0,145.0,137.0,203.0,213.0,136.0,568.0,130.0,0.0,100.0,374.0,1.0,2.0,350.0,1
185,-116.233816449,33.7467299041,234.0,134,40,6941.0,416.0,81.0,335.0,144.0,286.0,334.0,143.0,95.0,17.0,0.0,61.0,46.0,2.0,23.0,46.0,1
186,-116.136660264,33.6634468717,237.0,134,40,6936.0,419.0,84.0,335.0,146.0,289.0,337.0,146.0,84.0,16.0,0.0,62.0,42.0,1.0,21.0,42.0,1
187,-116.01791489,33.5781532343,239.0,135,40,6964.0,422.0,86.0,335.0,148.0,291.0,340.0,147.0,83.0,14.0,0.0,58.0,38.0,1.0,23.0,38.0,1
188,-116.140119301,33.5515708726,237.0,134,40,6842.0,417.0,85.0,332.0,147.0,287.0,336.0,147.0,81.0,16.0,0.0,66.0,43.0,1.0,18.0,43.0,1
189,-115.910716726,33.5017291893,238.0,135,39,7019.0,422.0,85.0,337.0,150.0,291.0,340.0,146.0,82.0,13.0,1.0,55.0,35.0,3.0,25.0,35.0,1
190,-116.08451875,33.4630824807,237.0,135,40,6795.0,417.0,86.0,331.0,148.0,287.0,335.0,148.0,76.0,15.0,0.0,63.0,40.0,1.0,18.0,40.0,1
191,-114.59532669,33.679460692,251.0,130,37,7718.0,435.0,85.0,350.0,358.0,316.0,358.0,148.0,95.0,19.0,1.0,61.0,45.0,3.0,45.0,32.0,1
192,-115.694448021,33.4275087499,238.0,135,39,7091.0,422.0,83.0,338.0,145.0,292.0,340.0,144.0,82.0,12.0,0.0,53.0,34.0,2.0,26.0,34.0,1
193,-114.54527295,33.5926309872,252.0,130,37,7700.0,437.0,87.0,349.0,360.0,317.0,360.0,149.0,100.0,19.0,1.0,58.0,44.0,3.0,44.0,36.0,1
194,-114.709213912,33.5570001301,250.0,131,37,7618.0,434.0,86.0,348.0,356.0,313.0,356.0,148.0,87.0,16.0,0.0,58.0,38.0,2.0,38.0,31.0,1
195,-115.943661325,33.3355262839,242.0,135,40,6849.0,423.0,90.0,332.0,152.0,292.0,341.0,152.0,72.0,13.0,0.0,61.0,36.0,1.0,18.0,36.0,1
196,-115.621998334,33.3209540177,248.0,135,39,7110.0,433.0,93.0,339.0,155.0,303.0,350.0,155.0,67.0,11.0,0.0,57.0,30.0,1.0,21.0,30.0,1
197,-114.656305382,33.4723100935,252.0,131,37,7619.0,436.0,88.0,348.0,359.0,315.0,359.0,150.0,96.0,17.0,1.0,57.0,40.0,3.0,40.0,34.0,1
198,-115.848324585,33.2234822738,242.0,135,40,6820.0,423.0,91.0,332.0,152.0,292.0,341.0,152.0,66.0,12.0,0.0,61.0,33.0,1.0,17.0,33.0,1
199,-115.543860364,33.2422571842,249.0,135,39,7089.0,433.0,94.0,338.0,156.0,303.0,351.0,156.0,64.0,10.0,0.0,55.0,28.0,1.0,20.0,28.0,1
200,-115.816533436,33.1364966246,242.0,136,40,6798.0,423.0,92.0,331.0,153.0,292.0,341.0,153.0,64.0,11.0,0.0,59.0,31.0,1.0,18.0,31.0,1
201,-115.648568369,33.1614864084,247.0,136,40,6963.0,430.0,94.0,336.0,156.0,299.0,347.0,156.0,62.0,10.0,0.0,58.0,29.0,1.0,19.0,29.0,1
202,-115.419852051,33.1711519282,248.0,135,39,7141.0,433.0,93.0,340.0,154.0,303.0,351.0,154.0,66.0,9.0,0.0,58.0,27.0,0.0,23.0,27.0,1
203,-115.529724203,33.0898717709,248.0,136,40,7043.0,432.0,94.0,338.0,156.0,302.0,350.0,156.0,61.0,10.0,0.0,60.0,28.0,0.0,19.0,28.0,1
204,-115.709414252,33.0583138093,243.0,136,40,6820.0,424.0,92.0,332.0,153.0,293.0,341.0,153.0,62.0,11.0,0.0,60.0,31.0,1.0,17.0,31.0,1
205,-115.389504257,33.0838781038,249.0,135,39,7130.0,434.0,93.0,340.0,155.0,304.0,351.0,155.0,63.0,9.0,0.0,57.0,26.0,0.0,22.0,26.0,1
206,-115.679488803,32.9712548776,241.0,136,41,6802.0,422.0,90.0,332.0,152.0,291.0,339.0,152.0,61.0,11.0,0.0,59.0,30.0,1.0,17.0,30.0,1
207,-115.56917127,32.9904909179,245.0,136,40,6934.0,428.0,93.0,335.0,154.0,297.0,345.0,154.0,61.0,10.0,0.0,59.0,28.0,0.0,19.0,28.0,1
208,-115.354543607,32.9976636758,249.0,136,40,7102.0,433.0,93.0,339.0,155.0,303.0,350.0,155.0,64.0,9.0,0.0,58.0,27.0,0.0,22.0,27.0,1
209,-115.514156642,32.9077746334,246.0,137,40,6935.0,429.0,93.0,335.0,155.0,298.0,346.0,155.0,59.0,9.0,0.0,59.0,26.0,0.0,19.0,26.0,1
210,-115.732258998,32.8694219405,239.0,137,41,6682.0,419.0,89.0,329.0,151.0,287.0,336.0,151.0,76.0,12.0,0.0,57.0,35.0,1.0,22.0,35.0,1
211,-115.31965911,32.9114272274,249.0,136,40,7098.0,432.0,93.0,339.0,155.0,303.0,350.0,155.0,64.0,9.0,0.0,59.0,27.0,0.0,22.0,27.0,1
212,-115.496493314,32.8185636593,246.0,137,40,6934.0,428.0,92.0,336.0,154.0,297.0,345.0,154.0,66.0,10.0,0.0,59.0,30.0,0.0,20.0,30.0,1
213,-115.690715177,32.7843909727,239.0,137,41,6689.0,420.0,90.0,329.0,152.0,288.0,336.0,152.0,85.0,14.0,0.0,59.0,39.0,1.0,24.0,39.0,1
214,-115.361805511,32.8116566554,247.0,136,40,7038.0,431.0,93.0,338.0,155.0,301.0,348.0,155.0,64.0,9.0,0.0,61.0,27.0,0.0,21.0,27.0,1
215,-115.493053028,32.7268734325,244.0,137,40,6899.0,427.0,92.0,335.0,154.0,296.0,344.0,154.0,72.0,11.0,0.0,60.0,31.0,1.0,23.0,31.0,1
216,-115.604780997,32.7068462473,241.0,137,41,6749.0,422.0,90.0,331.0,153.0,290.0,338.0,153.0,88.0,13.0,0.0,59.0,39.0,1.0,26.0,39.0,1
217,-115.366401961,32.7186010848,246.0,137,40,7008.0,430.0,92.0,337.0,154.0,299.0,347.0,154.0,65.0,10.0,0.0,60.0,28.0,0.0,22.0,28.0,1
218,-114.574971327,32.7423295243,255.0,132,38,7393.0,435.0,92.0,342.0,177.0,315.0,358.0,155.0,76.0,11.0,0.0,55.0,30.0,1.0,28.0,30.0,1
0,-121.85284821423387,39.69859688377785,179.0,122,37,6993.0,370.0,41.0,328.0,87.0,279.0,279.0,87.0,703.0,154.0,1.0,85.0,431.0,7.0,7.0,431.0,0
1,-115.27376159002486,34.393923324425174,227.0,130,36,7892.0,417.0,61.0,355.0,317.0,293.0,338.0,121.0,136.0,20.0,1.0,47.0,52.0,7.0,52.0,44.0,0
2,-116.1807442488544,35.68251637203878,231.0,125,33,8777.0,432.0,53.0,379.0,160.0,307.0,353.0,112.0,145.0,22.0,2.0,48.0,64.0,10.0,40.0,50.0,0
3,-121.17165128979616,36.778331270645374,134.0,119,46,4504.0,277.0,18.0,258.0,82.0,191.0,195.0,71.0,369.0,72.0,1.0,86.0,206.0,3.0,4.0,198.0,0
4,-122.7425735250928,39.26535258717932,75.0,114,41,5394.0,234.0,-40.0,274.0,3.0,151.0,151.0,3.0,1178.0,231.0,2.0,86.0,673.0,15.0,15.0,673.0,0
5,-114.1728757623816,34.234838315195255,248.0,127,35,8063.0,433.0,77.0,355.0,157.0,319.0,359.0,140.0,114.0,17.0,1.0,52.0,46.0,4.0,38.0,46.0,0
6,-116.05252980857075,35.15999572543404,231.0,129,34,8419.0,429.0,57.0,372.0,331.0,302.0,349.0,117.0,111.0,14.0,2.0,41.0,39.0,6.0,39.0,36.0,0
7,-116.84988160285906,32.95453830004918,171.0,114,44,4774.0,310.0,55.0,254.0,129.0,228.0,242.0,111.0,479.0,89.0,3.0,84.0,263.0,9.0,15.0,244.0,0
8,-123.71610973622992,40.73360238883975,83.0,94,41,4658.0,219.0,-10.0,229.0,25.0,144.0,152.0,25.0,1462.0,274.0,3.0,79.0,800.0,29.0,31.0,800.0,0
9,-121.51976251952506,40.494476033805135,26.0,122,37,6821.0,215.0,-109.0,324.0,-61.0,126.0,126.0,-61.0,1242.0,209.0,7.0,67.0,606.0,40.0,40.0,606.0,0
10,-119.8909746013017,34.581175436313586,163.0,97,45,4035.0,281.0,66.0,215.0,116.0,213.0,221.0,111.0,478.0,105.0,0.0,96.0,305.0,1.0,2.0,279.0,0
11,-122.96950093549728,39.059560641186536,130.0,100,41,4834.0,269.0,25.0,244.0,65.0,192.0,198.0,65.0,925.0,229.0,1.0,98.0,645.0,8.0,9.0,645.0,0
12,-117.4500228402632,37.02717682277074,193.0,116,30,8938.0,395.0,20.0,374.0,90.0,269.0,320.0,75.0,92.0,12.0,3.0,33.0,35.0,12.0,21.0,31.0,0
13,-115.67743357110042,33.59701866851736,204.0,134,39,7046.0,387.0,51.0,336.0,111.0,258.0,305.0,111.0,77.0,12.0,0.0,58.0,35.0,1.0,24.0,35.0,0
14,-120.3272975968308,37.54922250897667,174.0,124,40,6086.0,347.0,42.0,305.0,99.0,262.0,262.0,95.0,587.0,108.0,1.0,83.0,313.0,4.0,4.0,313.0,0
15,-119.81683788935052,38.68069656908938,85.0,122,36,7248.0,274.0,-64.0,338.0,-7.0,192.0,192.0,-7.0,558.0,108.0,8.0,72.0,300.0,27.0,27.0,300.0,0
16,-121.11303994704367,39.1252259467289,145.0,123,38,6545.0,327.0,11.0,316.0,59.0,238.0,238.0,59.0,1229.0,248.0,2.0,84.0,704.0,13.0,13.0,704.0,0
17,-120.89812933080498,41.87420894380726,86.0,116,34,7549.0,289.0,-50.0,339.0,2.0,202.0,202.0,-8.0,434.0,56.0,10.0,38.0,161.0,37.0,37.0,149.0,0
18,-116.37573854172106,32.77889762190144,132.0,128,45,5347.0,287.0,4.0,282.0,71.0,165.0,211.0,64.0,383.0,80.0,2.0,81.0,212.0,14.0,38.0,206.0,0
19,-115.21487207028302,35.04621871451148,164.0,128,35,7979.0,354.0,0.0,355.0,194.0,233.0,276.0,58.0,241.0,33.0,2.0,45.0,93.0,12.0,91.0,76.0,0
20,-123.45415026981584,41.52232994543351,72.0,106,40,5412.0,228.0,-35.0,264.0,4.0,142.0,152.0,4.0,1601.0,293.0,8.0,78.0,873.0,37.0,51.0,873.0,0
21,-121.65722361361615,40.44882322215272,79.0,122,36,7114.0,273.0,-58.0,332.0,-11.0,184.0,184.0,-11.0,996.0,160.0,6.0,64.0,467.0,35.0,35.0,467.0,0
22,-121.54366199691,36.87580816619506,152.0,102,47,3713.0,270.0,54.0,215.0,99.0,201.0,202.0,99.0,372.0,80.0,1.0,92.0,226.0,3.0,3.0,226.0,0
23,-121.84504740035212,38.41085182112627,167.0,117,43,5179.0,321.0,48.0,272.0,95.0,237.0,237.0,95.0,516.0,113.0,0.0,92.0,317.0,2.0,2.0,317.0,0
24,-119.6204911857168,36.173994339862176,194.0,131,41,6396.0,373.0,53.0,320.0,122.0,287.0,287.0,112.0,204.0,40.0,0.0,84.0,113.0,0.0,0.0,108.0,0
25,-119.8642051390605,35.33581344366566,128.0,129,44,5454.0,289.0,-1.0,291.0,66.0,199.0,207.0,57.0,213.0,44.0,0.0,87.0,129.0,2.0,2.0,110.0,0
26,-122.75395586242236,39.96892001774563,69.0,119,40,6033.0,244.0,-53.0,297.0,-9.0,156.0,156.0,-9.0,874.0,164.0,3.0,75.0,462.0,21.0,21.0,462.0,0
27,-121.2270921787052,41.55720176632524,95.0,119,34,7545.0,298.0,-43.0,342.0,11.0,210.0,210.0,0.0,374.0,46.0,7.0,40.0,135.0,30.0,30.0,130.0,0
28,-122.00101969661272,37.205959026243136,117.0,78,47,2879.0,205.0,40.0,165.0,76.0,155.0,155.0,76.0,706.0,156.0,1.0,94.0,445.0,6.0,6.0,445.0,0
29,-120.46562516186894,39.85332222502694,86.0,123,35,7443.0,283.0,-61.0,344.0,-9.0,196.0,196.0,-9.0,840.0,167.0,7.0,78.0,472.0,29.0,29.0,472.0,0
30,-122.50725775744722,41.915558006169086,116.0,119,37,6874.0,307.0,-14.0,322.0,37.0,220.0,220.0,29.0,417.0,71.0,8.0,59.0,203.0,30.0,30.0,202.0,0
31,-121.10994365315766,37.96933810766583,175.0,122,42,5465.0,336.0,50.0,286.0,100.0,250.0,250.0,100.0,383.0,75.0,1.0,83.0,213.0,3.0,3.0,213.0,0
32,-118.6141310784546,34.806827587417224,155.0,126,41,6182.0,323.0,19.0,304.0,84.0,236.0,245.0,76.0,283.0,58.0,1.0,87.0,168.0,3.0,7.0,142.0,0
33,-119.08965853759987,35.728971696435025,197.0,129,39,6754.0,378.0,53.0,325.0,140.0,295.0,295.0,111.0,243.0,43.0,0.0,81.0,128.0,2.0,2.0,119.0,0
34,-114.7456643662047,34.982288336136186,226.0,126,34,8353.0,418.0,54.0,364.0,129.0,300.0,342.0,114.0,145.0,21.0,1.0,52.0,62.0,5.0,50.0,54.0,0
35,-120.08840396478588,37.81882454503178,134.0,122,39,6338.0,310.0,0.0,309.0,53.0,227.0,227.0,53.0,925.0,194.0,2.0,86.0,551.0,7.0,7.0,551.0,0
36,-115.77471462414346,34.61894218296384,227.0,131,36,8000.0,421.0,60.0,360.0,340.0,294.0,340.0,121.0,136.0,21.0,1.0,50.0,58.0,6.0,58.0,43.0,0
37,-117.90162850885592,36.74571053064713,142.0,116,32,8201.0,334.0,-17.0,351.0,46.0,212.0,260.0,35.0,134.0,24.0,3.0,65.0,71.0,11.0,15.0,66.0,0
38,-122.04028906039436,38.12895758564869,162.0,108,44,4555.0,298.0,52.0,245.0,97.0,222.0,222.0,97.0,484.0,106.0,0.0,91.0,299.0,2.0,2.0,299.0,0
39,-120.4227212336496,36.88491450928755,182.0,130,42,5755.0,352.0,49.0,303.0,105.0,258.0,264.0,105.0,237.0,44.0,0.0,83.0,128.0,0.0,1.0,128.0,0
40,-115.9176987826841,32.69108427345091,220.0,136,42,6252.0,394.0,78.0,316.0,140.0,263.0,312.0,140.0,131.0,24.0,1.0,64.0,66.0,4.0,28.0,66.0,0
41,-122.59785299651652,41.22745706525714,72.0,120,37,6684.0,260.0,-59.0,318.0,-13.0,169.0,171.0,-13.0,1089.0,183.0,9.0,71.0,544.0,44.0,45.0,544.0,0
42,-122.4091859347594,38.67794084528899,149.0,112,42,5159.0,300.0,34.0,266.0,78.0,220.0,220.0,78.0,746.0,169.0,1.0,93.0,478.0,5.0,5.0,478.0,0
43,-119.34601835128646,34.92188385639329,142.0,124,43,5585.0,302.0,14.0,287.0,79.0,215.0,224.0,71.0,271.0,53.0,0.0,85.0,156.0,3.0,3.0,137.0,0
44,-119.57846707158876,36.989886247402325,183.0,126,39,6655.0,365.0,43.0,321.0,106.0,281.0,281.0,99.0,493.0,92.0,1.0,83.0,264.0,3.0,3.0,259.0,0
45,-120.27731183870668,41.44764029635412,66.0,116,33,7776.0,270.0,-76.0,347.0,-12.0,185.0,185.0,-32.0,445.0,51.0,10.0,38.0,152.0,37.0,37.0,150.0,0
46,-121.75563883185866,37.52587011201275,117.0,102,46,3879.0,239.0,18.0,221.0,62.0,165.0,169.0,62.0,516.0,98.0,1.0,83.0,279.0,5.0,7.0,279.0,0
47,-116.50142636009306,35.77278935655717,249.0,124,32,8889.0,451.0,70.0,380.0,149.0,326.0,373.0,128.0,94.0,17.0,1.0,63.0,49.0,6.0,20.0,38.0,0
48,-116.65907377552536,33.442624668512934,126.0,129,44,5697.0,287.0,-7.0,294.0,56.0,164.0,210.0,53.0,414.0,79.0,1.0,77.0,223.0,14.0,41.0,220.0,0
49,-117.9294162628918,36.47898005731772,163.0,117,33,8180.0,356.0,5.0,351.0,68.0,229.0,281.0,57.0,159.0,30.0,2.0,72.0,89.0,11.0,16.0,82.0,0
50,-119.5011385593239,36.36231886586493,195.0,130,40,6513.0,375.0,54.0,321.0,121.0,290.0,290.0,111.0,244.0,48.0,0.0,85.0,134.0,0.0,0.0,131.0,0
51,-116.11267765621228,34.633155497419594,212.0,132,36,7870.0,405.0,46.0,358.0,185.0,277.0,323.0,107.0,93.0,12.0,1.0,48.0,36.0,4.0,33.0,35.0,0
52,-115.69208509625778,33.20798034102885,246.0,136,40,6954.0,429.0,94.0,335.0,155.0,298.0,347.0,155.0,63.0,11.0,0.0,59.0,30.0,1.0,19.0,30.0,0
53,-121.33904307044284,41.24548955859723,89.0,120,35,7493.0,290.0,-51.0,342.0,-5.0,202.0,202.0,-5.0,647.0,96.0,6.0,57.0,287.0,29.0,29.0,287.0,0
54,-114.97596527150144,33.49527781710247,235.0,132,38,7417.0,418.0,75.0,343.0,209.0,294.0,339.0,136.0,82.0,13.0,0.0,60.0,34.0,0.0,32.0,33.0,0
55,-122.76207671432664,38.42232145733144,154.0,92,43,4106.0,273.0,59.0,214.0,97.0,210.0,210.0,97.0,880.0,195.0,1.0,90.0,552.0,7.0,7.0,552.0,0
56,-120.51414478217433,40.76268985045567,72.0,120,34,7683.0,275.0,-73.0,348.0,-25.0,188.0,188.0,-25.0,353.0,55.0,6.0,52.0,163.0,23.0,23.0,163.0,0
57,-122.16370475405236,38.71197184617352,163.0,117,41,5507.0,324.0,41.0,282.0,87.0,239.0,239.0,87.0,476.0,105.0,1.0,90.0,293.0,5.0,5.0,293.0,0
58,-120.118616123045,39.737638156401005,88.0,123,34,7715.0,288.0,-64.0,353.0,-11.0,202.0,202.0,-11.0,353.0,63.0,8.0,62.0,179.0,24.0,24.0,179.0,0
59,-120.5537700737413,39.53264200438405,73.0,124,37,7019.0,264.0,-68.0,332.0,-16.0,176.0,176.0,-16.0,1226.0,239.0,6.0,78.0,684.0,29.0,29.0,684.0,0
60,-121.87757435589197,39.79965314169553,178.0,122,36,7106.0,371.0,39.0,331.0,85.0,280.0,280.0,85.0,739.0,155.0,1.0,83.0,438.0,9.0,9.0,438.0,0
61,-116.86145632957634,35.38101418019158,176.0,126,35,8046.0,370.0,12.0,358.0,83.0,244.0,290.0,69.0,142.0,27.0,1.0,67.0,78.0,6.0,36.0,60.0,0
62,-121.34769425503212,40.984662519956906,112.0,121,34,7643.0,315.0,-31.0,347.0,15.0,227.0,227.0,15.0,518.0,82.0,4.0,60.0,241.0,19.0,19.0,241.0,0
63,-118.00761568308916,35.18598846220625,181.0,128,37,7310.0,367.0,29.0,337.0,96.0,238.0,286.0,86.0,132.0,25.0,1.0,81.0,73.0,4.0,10.0,70.0,0
64,-120.9939697046023,37.85267743547308,176.0,123,42,5507.0,338.0,50.0,288.0,101.0,252.0,252.0,101.0,366.0,69.0,1.0,83.0,198.0,3.0,3.0,198.0,0
65,-123.06531434033566,40.994287213832266,27.0,116,40,5863.0,199.0,-90.0,290.0,-46.0,105.0,114.0,-46.0,1249.0,218.0,7.0,73.0,649.0,40.0,47.0,649.0,0
66,-122.96478558671936,41.77032401320395,94.0,115,38,6214.0,271.0,-26.0,298.0,15.0,175.0,187.0,15.0,765.0,140.0,9.0,73.0,414.0,38.0,41.0,414.0,0
67,-115.11809061961026,34.24611054941148,243.0,130,36,7888.0,432.0,77.0,355.0,137.0,309.0,353.0,137.0,88.0,12.0,1.0,48.0,34.0,4.0,29.0,34.0,0
68,-121.50434823535026,39.0828316178919,180.0,123,39,6375.0,359.0,48.0,311.0,95.0,269.0,269.0,95.0,568.0,118.0,1.0,85.0,337.0,5.0,5.0,337.0,0
69,-115.27118988735998,34.78555399602276,217.0,129,35,8115.0,409.0,48.0,360.0,330.0,286.0,330.0,108.0,157.0,24.0,2.0,49.0,64.0,8.0,64.0,50.0,0
70,-121.27918077676502,41.57270860526586,96.0,119,34,7540.0,300.0,-42.0,342.0,12.0,212.0,212.0,1.0,367.0,48.0,6.0,44.0,139.0,28.0,28.0,135.0,0
71,-120.60914254836156,36.01489254047264,138.0,128,45,5088.0,295.0,12.0,282.0,80.0,205.0,210.0,69.0,361.0,73.0,1.0,91.0,215.0,3.0,3.0,205.0,0
72,-123.7841686771422,40.94634593343297,95.0,91,40,4597.0,228.0,3.0,224.0,40.0,155.0,163.0,38.0,1528.0,287.0,4.0,78.0,815.0,32.0,34.0,812.0,0
73,-121.62743010319714,36.64737560261694,154.0,93,47,3357.0,261.0,64.0,196.0,106.0,194.0,199.0,106.0,354.0,75.0,1.0,89.0,207.0,4.0,5.0,207.0,0
74,-119.33057466893776,34.258572661985255,184.0,90,43,4042.0,298.0,91.0,206.0,138.0,234.0,243.0,134.0,430.0,98.0,0.0,100.0,291.0,1.0,2.0,256.0,0
75,-121.40977174129272,40.17586214655487,63.0,122,37,6930.0,253.0,-74.0,327.0,-25.0,164.0,164.0,-25.0,1351.0,269.0,5.0,78.0,761.0,27.0,27.0,761.0,0
76,-117.3464466697939,36.82477372687197,171.0,116,31,8691.0,368.0,1.0,366.0,70.0,245.0,294.0,55.0,96.0,14.0,3.0,40.0,39.0,11.0,24.0,36.0,0
